id,Director
671,Daniel Radcliffe
3580,Angelina Jolie
703,Woody Allen
268,Jack Nicholson
11561,Woody Allen
11302,Woody Allen
11624,Woody Allen
462,Julia Roberts
1645,Matthew McConaughey
1858,Shia LaBeouf
38356,Shia LaBeouf
8373,Shia LaBeouf
157336,Matthew McConaughey
820,Kevin Costner
9563,Al Pacino
320,Al Pacino
240,Al Pacino
71679,Milla Jovovich
35791,Milla Jovovich
242,Al Pacino
1576,Milla Jovovich
42807,Matthew McConaughey
11228,Sylvester Stallone
52451,Milla Jovovich
2018,Jennifer Lopez
241251,Jennifer Lopez
694,Jack Nicholson
672,Daniel Radcliffe
307081,Jake Gyllenhaal
7350,Jack Nicholson
243,John Cusack
114,Julia Roberts
43347,Jake Gyllenhaal
787,Angelina Jolie
27576,Angelina Jolie
41733,Robert Downey Jr.
4806,Julia Roberts
111,Al Pacino
14161,John Cusack
117,Kevin Costner
77016,Jake Gyllenhaal
2832,John Cusack
710,Pierce Brosnan
913,Pierce Brosnan
2142,Sylvester Stallone
192102,Kevin Costner
6964,Jack Nicholson
76163,Sylvester Stallone
8916,Woody Allen
1995,Angelina Jolie
1726,Robert Downey Jr.
10528,Robert Downey Jr.
9986,Julia Roberts
58574,Robert Downey Jr.
9350,Sylvester Stallone
107846,Sylvester Stallone
10138,Robert Downey Jr.
8367,Kevin Costner
3021,John Cusack
254904,Pierce Brosnan
9804,Kevin Costner
9619,Pierce Brosnan
4379,Jennifer Lopez
8676,Matthew McConaughey
674,Daniel Radcliffe
767,Daniel Radcliffe
675,Daniel Radcliffe
492,John Cusack
3536,Matthew McConaughey
2755,Jack Nicholson
8271,Shia LaBeouf
8843,Jennifer Lopez
45612,Jake Gyllenhaal
13027,Shia LaBeouf
9543,Jake Gyllenhaal
12403,Milla Jovovich
36643,Pierce Brosnan
7303,Jennifer Lopez
1996,Angelina Jolie
62764,Julia Roberts
9454,Drew Barrymore
7942,Simon Pegg
41439,Tobin Bell
208134,Johnny Knoxville
4380,Richard Gere
10014,Robert Englund
190859,Bradley Cooper
105,Michael J. Fox
165,Michael J. Fox
196,Michael J. Fox
98,Russell Crowe
20662,Russell Crowe
587,Ewan McGregor
9833,Gerard Butler
453,Russell Crowe
273248,Samuel L. Jackson
80,Ethan Hawke
120,Elijah Wood
122,Elijah Wood
121,Elijah Wood
479,Samuel L. Jackson
11431,Drew Barrymore
92591,Jack Black
1584,Jack Black
132344,Ethan Hawke
76,Ethan Hawke
28178,Richard Gere
380,Dustin Hoffman
44264,Jeff Bridges
4232,David Arquette
586,Dustin Hoffman
18785,Bradley Cooper
227156,Jeff Bridges
45243,Bradley Cooper
117263,Gerard Butler
26390,Richard Gere
41446,David Arquette
4233,David Arquette
4234,David Arquette
131634,Jennifer Lawrence
101299,Jennifer Lawrence
138843,Patrick Wilson
9836,Elijah Wood
1271,Gerard Butler
82693,Bradley Cooper
49018,Patrick Wilson
259693,Patrick Wilson
131631,Jennifer Lawrence
9007,Reese Witherspoon
274479,Jennifer Lawrence
59962,Reese Witherspoon
86834,Russell Crowe
10160,Robert Englund
14405,Drew Barrymore
627,Ewan McGregor
10137,Michael J. Fox
177,Jeff Bridges
1895,Ewan McGregor
9576,Dustin Hoffman
232672,Drew Barrymore
10072,Robert Englund
1894,Ewan McGregor
6950,Dustin Hoffman
8835,Reese Witherspoon
11529,Reese Witherspoon
10131,Robert Englund
27573,Gerard Butler
326,Samuel L. Jackson
115,Jeff Bridges
747,Simon Pegg
4638,Simon Pegg
257445,Jack Black
2652,Patrick Wilson
7214,Samuel L. Jackson
107985,Simon Pegg
82507,Ethan Hawke
16290,Johnny Knoxville
12094,Johnny Knoxville
2251,Richard Gere
215,Tobin Bell
214,Tobin Bell
9012,Johnny Knoxville
663,Tobin Bell
38745,Jack Black
1892,Mark Hamill
72197,Hugh Grant
35019,Emma Thompson
612,Eric Bana
11831,Morgan Freeman
322,Sean Penn
22954,Morgan Freeman
686,Jodie Foster
